timestamp,consumption,predictions
2010-07-02 01:00:00,16.4,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.199999999999996,21.199999999999999
2010-07-02 02:00:00,4.7,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.399999999999995,16.400000000000006
2010-07-02 03:00:00,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.700000000000001,4.7000000000000011
2010-07-02 04:00:00,4.6,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.700000000000001,4.7000000000000011
2010-07-02 05:00:00,23.5,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.700000000000001,4.7000000000000011
2010-07-02 06:00:00,47.5,23.5,23.5,16.4,23.5,23.5,16.4,23.5,23.5,16.4,23.5,23.5,16.4,23.5,23.5,23.5,23.5,16.4,16.4,23.5,23.5,23.5,21.47142857142857,21.471428571428575
2010-07-02 07:00:00,45.4,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.499999999999993
2010-07-02 08:00:00,46.1,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.399999999999984,45.400000000000013
2010-07-02 09:00:00,41.5,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.399999999999984,45.400000000000013
2010-07-02 10:00:00,43.4,46.1,46.1,41.5,46.1,41.5,41.5,46.1,41.5,46.1,46.1,46.1,41.5,46.1,45.61,46.1,41.5,41.5,41.5,41.5,41.5,46.1,43.886190476190485,43.886190476190471
2010-07-02 11:00:00,43.8,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,46.1,43.4,41.5,41.5,41.5,41.5,41.5,41.5,43.4,41.5,41.5,41.9,41.899999999999991
2010-07-02 12:00:00,37.8,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.399999999999984,43.399999999999977
2010-07-02 13:00:00,36.6,43.8,37.8,37.8,37.8,37.8,37.8,43.8,37.8,43.4,37.8,37.8,37.8,43.519999999999996,43.8,37.8,43.8,43.4,43.8,43.8,37.8,43.4,40.58666666666665,40.586666666666673
2010-07-02 14:00:00,35.7,37.8,36.6,37.8,36.6,37.8,37.8,37.8,36.6,37.8,37.8,37.8,36.6,36.6,36.6,37.8,37.8,37.8,37.8,37.8,37.8,43.4,37.723809523809514,37.723809523809521
2010-07-02 15:00:00,38.9,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.60000000000001,36.600000000000009
2010-07-02 16:00:00,36.2,35.7,35.7,35.7,35.7,35.7,43.4,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,36.06666666666668,36.066666666666663
2010-07-02 17:00:00,36.6,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.89999999999999,38.899999999999999
2010-07-02 18:00:00,37.2,36.480000000000004,36.480000000000004,35.85,35.85,36.480000000000004,35.85,35.85,36.480000000000004,36.480000000000004,36.480000000000004,35.85,36.2,35.85,36.480000000000004,35.85,35.85,35.85,38.9,36.480000000000004,35.85,36.480000000000004,36.28190476190477,36.281904761904755
2010-07-02 19:00:00,38.2,36.516000000000005,36.516000000000005,36.6,36.6,36.516000000000005,36.6,36.6,36.516000000000005,36.516000000000005,36.516000000000005,36.6,36.6,36.6,36.516000000000005,36.6,36.6,36.6,36.516000000000005,36.516000000000005,36.6,36.516000000000005,36.56,36.560000000000002
2010-07-02 20:00:00,14.1,37.62,37.62,36.78,36.78,37.62,37.62,37.62,36.516000000000005,37.62,37.62,36.78,36.78,36.78,37.2,36.78,36.6,37.62,36.516000000000005,36.516000000000005,36.78,37.2,37.093714285714285,37.093714285714292
2010-07-02 21:00:00,5.1,14.1,14.1,4.67,4.67,4.67,14.1,4.67,14.1,14.1,4.67,14.1,14.1,14.1,4.7,4.67,16.4,14.1,4.67,4.67,14.1,14.1,10.169523809523806,10.169523809523808
2010-07-02 22:00:00,5.0,23.5,4.67,23.5,5.1,23.5,4.67,23.5,23.5,23.5,4.67,4.67,23.5,23.5,23.5,23.5,23.5,4.67,23.5,23.5,4.67,4.67,16.34714285714286,16.347142857142853
2010-07-02 23:00:00,5.9,4.7989999999999995,4.7989999999999995,4.7989999999999995,5.1,4.7989999999999995,4.7989999999999995,23.5,5.1,4.7989999999999995,4.7989999999999995,4.67,23.5,4.7989999999999995,4.82,23.5,4.7989999999999995,23.5,5.1,5.1,4.7989999999999995,5.0,8.422857142857143,8.4228571428571417
