dttm,value,label
2013-03-15 00:00:00.000000,0.0,0.0
2013-03-15 00:05:00.000000,0.0,0.0
2013-03-15 00:10:00.000000,0.0,0.0
2013-03-15 00:15:00.000000,0.0,0.0
2013-03-15 00:20:00.000000,0.0,0.0
2013-03-15 00:25:00.000000,0.0,0.0
2013-03-15 00:30:00.000000,0.0,0.0
2013-03-15 00:35:00.000000,0.0,0.0
2013-03-15 00:40:00.000000,0.0,0.0
2013-03-15 00:45:00.000000,0.0,0.0
2013-03-15 00:50:00.000000,0.0,0.0
2013-03-15 00:55:00.000000,0.0,0.0
2013-03-15 01:00:00.000000,0.0,0.0
2013-03-15 01:05:00.000000,0.0,0.0
2013-03-15 01:10:00.000000,0.0,0.0
2013-03-15 01:15:00.000000,0.0,0.0
2013-03-15 01:20:00.000000,0.0,0.0
2013-03-15 01:25:00.000000,0.0,0.0
2013-03-15 01:30:00.000000,0.0,0.0
2013-03-15 01:35:00.000000,0.0,0.0
2013-03-15 01:40:00.000000,0.0,0.0
2013-03-15 01:45:00.000000,0.0,0.0
2013-03-15 01:50:00.000000,0.0,0.0
2013-03-15 01:55:00.000000,0.0,0.0
2013-03-15 02:00:00.000000,0.0,0.0
2013-03-15 02:05:00.000000,0.0,0.0
2013-03-15 02:10:00.000000,0.0,0.0
2013-03-15 02:15:00.000000,0.0,0.0
2013-03-15 02:20:00.000000,0.0,0.0
2013-03-15 02:25:00.000000,0.0,0.0
2013-03-15 02:30:00.000000,0.0,0.0
2013-03-15 02:35:00.000000,0.399504291376,0.0
2013-03-15 02:40:00.000000,0.457863546378,0.0
2013-03-15 02:45:00.000000,0.0,0.0
2013-03-15 02:50:00.000000,0.0,0.0
2013-03-15 02:55:00.000000,0.342992096951,0.0
2013-03-15 03:00:00.000000,0.410665480637,0.0
2013-03-15 03:05:00.000000,0.0,0.0
2013-03-15 03:10:00.000000,0.0,0.0
2013-03-15 03:15:00.000000,0.0,0.0
2013-03-15 03:20:00.000000,0.0,0.0
2013-03-15 03:25:00.000000,0.0,0.0
2013-03-15 03:30:00.000000,0.0,0.0
2013-03-15 03:35:00.000000,0.0,0.0
2013-03-15 03:40:00.000000,0.0,0.0
2013-03-15 03:45:00.000000,0.0,0.0
